仕入先ｺｰﾄﾞ,仕入先名１,仕入先名２,仕入先名略称,仕入先名索引,郵便番号,住所１住所２,電話番号,ＦＡＸ番号
700015,株式会社ｱｰﾄｳｲﾝｽﾞ,,ｱｰﾄｳｲﾝｽﾞ,ｱｰﾄｳｲﾝｽﾞ,574-0064,大阪府大東市御領3-11-27,072-870-9600,072-870-9610
700031,ｱｰﾙ■,,ｱｰﾙ■,,,,,
700035,株式会社ｱｲ･ｱｲ･ﾃｨｰ,藤山ｺﾝｻﾙﾃｨﾝｸﾞ　藤山紳一,ｱｲ･ｱｲ･ﾃｨｰ,ｱｲｱｲｱﾃｨｰ,520-0113,滋賀県大津市坂本1-5-77,077-525-0515,077-525-0515
700041,ｱｰﾙｻﾝﾌﾟﾙ■,,ｱｰﾙｻﾝﾌﾟﾙ■,,,,,
700045,株式会社I.Sﾋｰﾀｰ製作所,,I.Sﾋｰﾀｰ製作所,ｱｲｴｽﾋｰﾀｰ,572-0829,大阪府寝屋川市萱島信和町26-14,072-822-2661,072-822-5958
700055,ｱｲ･ｹｰ･ｼﾞｰ株式会社,,ｱｲ･ｹｰ･ｼﾞｰ,ｱｲｹｰｼﾞｰ,108-0023,東京都港区芝浦2-1-13ﾀﾞｲﾄｰ本社ﾋﾞﾙ別館,03-3456-6855,03-3452-9368
700065,ｱｲﾒｯｸｽ株式会社,,ｱｲﾒｯｸｽ,ｱｲﾒｯｸｽ,564-0052,吹田市広芝町4-1江坂ﾐﾀｶﾋﾞﾙ5F,06-6338-6551,06-6338-6212
700076,株式会社ｱｲﾗｲﾝ,,ｱｲﾗｲﾝ,ｱｲﾗｲﾝ,066-0063,千歳市幸町6-18-3千歳駅前ビル2F,0123-40-1171,0123-40-1172
700081,旭化成建材 商品開発■,,旭化成建材 商品開発■,,,,,
700085,株式会社ｱｷｭﾚｲﾄ,京都ｶｽﾀﾏｰｾﾝﾀｰ,ｱｷｭﾚｲﾄ,ｱｷｭﾚｲﾄ,612-8419,京都府京都市伏見区竹田北三ﾂ杭町20,075-646-4520,075-642-1214
700091,旭化成住工生産技術部■,,旭化成住工生産技術部■,,,,,
700095,あけぼの化成株式会社,,あけぼの化成,ｱｹﾎﾞﾉ,582-0027,大阪府柏原市円明町741-1,0729-76-1041,0729-77-9101
700101,旭化成住工ｱｾﾝﾌﾞﾙ■,,旭化成住工ｱｾﾝﾌﾞﾙ■,,,,,
700105,有限会社浅田石油,,浅田石油,ｱｻﾀﾞｾｷﾕ,571-0015,門真市三ﾂ島1100-3,072-883-2220,
700111,旭ｺﾞﾑ本社■,,旭ｺﾞﾑ本社■,,,,,
700115,株式会社旭ﾌﾟﾚｼｼﾞｮﾝ,,旭ﾌﾟﾚｼｼﾞｮﾝ,ｱｻﾋﾌﾟﾚｼｼﾞｮ,617-0004,京都府向日市鶏冠井町十相30,075-925-1251,075-932-3368
700121,旭ｺﾞﾑ枚方事業所■,,旭ｺﾞﾑ枚方事業所■,ｱｻﾋｺﾞﾑﾋﾗｶﾀ,,,,
700125,安達新産業株式会社,,安達新産業,ｱﾀﾞﾁｼﾝ,550-0012,大阪府大阪市西区立売堀1-14-20ｱﾈｯｸｽﾋﾞﾙ10F,06-6536-2051,06-6536-2015
700131,ｱｻﾋｻﾝﾌﾟﾙ■,,ｱｻﾋｻﾝﾌﾟﾙ■,,,,,
700141,旭食品ｻﾝﾌﾟﾙ製作所■,,旭食品ｻﾝﾌﾟﾙ製作所■,,,,,
700146,ｱﾗﾏｰｸﾕﾆﾌｫｰﾑｻｰﾋﾞｽｼﾞｬﾊﾟﾝ株式会社,,ｱﾗﾏｰｸﾕﾆﾌｫｰﾑｻｰﾋﾞｽ,ｱﾗﾏｰｸﾕﾆﾌｫｰ,007-0826,札幌市東区東雁来6条2丁目3-60,011-786-3211,011-786-3216
700155,ｱﾗﾑ株式会社,,ｱﾗﾑ,ｱﾗﾑ,530-0043,大阪市北区天満2-3-10,06-6351-8860,06-6351-8856
700161,安達食品ｻﾝﾌﾟﾙ製作所■,,安達食品ｻﾝﾌﾟﾙ製作所■,,,,,
700165,ｱﾘｽｹﾐｶﾙ株式会社,,ｱﾘｽｹﾐｶﾙ株式会社,ｱﾘｽｹﾐｶﾙ,578-0901,大阪府東大阪市加納4-14-16,0729-60-2455,0729-64-5231
700171,旭ｺﾞﾑ船橋営業所■,,旭ｺﾞﾑ船橋営業所■,,,,,
700176,ｱﾙﾊﾟｽﾀｯﾌ株式会社 <三菱化学>,,ｱﾙﾊﾟｽﾀｯﾌ<三菱化学>,ｱﾙﾊﾟｽﾀｯﾌ,108-0014,東京都港区芝5丁目33番8号第一田町ﾋﾞﾙ,03-6414-4030,03-6414-4078
701012,有限会社ｲｰﾃｯｸ,,ｲｰﾃｯｸ,ｲｰﾃｯｸ,061-1111,北広島市北の里341-4,011-372-2551,011-372-2119
701015,株式会社生駒,,生駒,ｲｺﾏ,574-0052,大東市新田北町2-7,072-871-6526,072-874-9131
701026,有限会社ｲｰｴﾌﾃｸﾉ,,ｲｰｴﾌﾃｸﾉ,ｲｰｴﾌﾃｸﾉ,581-0036,大阪府八尾市沼4丁目18番地,0729-48-8888,0729-48-8800
701031,ｲｰﾋﾞｰｴﾑ■,,ｲｰﾋﾞｰｴﾑ■,,,,,
701045,株式会社ｲｲﾉ,,ｲｲﾉ,ｲｲﾉ,590-0018,堺市堺区今池町2丁10-26,072-238-7177,072-227-4737
701051,伊藤忠ﾌﾟﾗｽﾁｯｸｽ名古屋■,,伊藤忠ﾌﾟﾗｽﾁｯｸｽ名古屋■,,,,,
701055,有限会社井川製作所,,井川製作所,ｲｶﾞﾜｾｲｻｸｼｮ,580-0002,大阪府松原市小川4-4-5,072-332-8107,072-335-2450
701065,生野造機株式会社,,生野造機,ｲｸﾉｿﾞｳｷ ｶﾌ,641-0001,和歌山市杭ﾉ瀬252番地,073-471-8263,073-473-8157
701071,因幡電機産業株式会社,電材ｶﾝﾊﾟﾆ-西日本統括部 特販営業部 ﾄﾞｷｭﾒﾝﾄ課,因幡電機,ｲﾅﾊﾞﾃﾞﾝｷｻﾝ,550-0012,大阪府大阪市西区立売堀4-11-14,06-6538-1789,06-6538-0516
