商品ｺｰﾄﾞ,商品名,商品名索引,単位,個数単位,主仕入先ｺｰﾄﾞ
S700095D00501,BC8A,,,,700095
S700095D00602,AS171L,AS171L,KG,,700095
S700125I00101,X 光拡散PP-MB MBG102H01DL/500kg X,ﾋｶﾘｶｸｻﾝPP,kg,kg,700125
S700125I00102,X 光拡散PP-MB MBG102H01D/1000kg X,ﾋｶﾘｶｸｻﾝPP,kg,kg,700125
S700125I00103,X 光拡散PP-MB MBG102H01D/2000kg X,ﾋｶﾘｶｸｻﾝPP,kg,kg,700125
S700125I00201,光拡散PP-MB XMBG105H02DH/500kg,ﾋｶﾘｶｸｻﾝPP,kg,kg,700125
S700125I00202,光拡散PP-MB XMBG105H02DH/1000kg,ﾋｶﾘｶｸｻﾝPP,kg,kg,700125
S700125I00203,光拡散PP-MB XMBG105H02DH/2000kg,ﾋｶﾘｶｸｻﾝPP,kg,kg,700125
S700155D00101,ﾃﾌﾛﾝ粘着ﾃｰﾌﾟASF-110FR 0.13x50x10m,,,,700155
S700165K01001,MPU-137080A ﾌﾞﾗｯｸ,MPU-137080,kg,,700165
S700165K02001,MPU-137081 ﾌﾞﾗｳﾝ,MPU-137080,kg,,700165
S700165K03001,MPU-137100 抗菌剤,MPU-137080,kg,,700165
S701012I00101,AES-W240 BAB302UA,AES-W240,ｋｇ,ｋｇ,701012
S701012I00102,AES-W240 BAC240,AES-W240,ｋｇ,ｋｇ,701012
S701135B00101,ITS-B001(膨張性黒鉛の原料),ITS-B001,ｋｇ,ｋｇ,701135
S701135D00000,FSK-CMB1,fsk-cmb1,kg,,701135
S701135D00101,350 ITS-001,ITS,,,701135
S701135D00102,350 卵殻,350 ﾀﾏｺﾞｶﾗ,,,701135
S701135D00201,C-1000灰 (ｽﾎﾟﾝｼﾞ)10x50x200,c-1000ﾊｲ (,個,,701135
S701135D00202,C-1000灰 (ｽﾎﾟﾝｼﾞ)45x50x200,c-1000ﾊｲ (,個,,701135
S701135D00501,C-1000灰 (ｽﾎﾟﾝｼﾞ)60x50x200,c-1000ﾊｲ (,個,,701135
S701135D00502,C-1000灰 (ｽﾎﾟﾝｼﾞ)90×50x200,c-1000ﾊｲ (,個,,701135
S701135D00601,MBN-85LK,mbn-85lk,kg,,701135
S701135D00701,NO.9360 4kg,ﾉ｡9360,缶,,701135
S701135D00801,HTR-SM4,HTR-SM4,KG,,701135
