得意先ｺｰﾄﾞ,得意先名１,得意先名２,得意先名略称,得意先名索引,郵便番号,住所１住所２住所３,電話番号,ＦＡＸ番号
700011,株式会社ｱｰﾄｻﾝﾌﾟﾙ　　700011,,ｱｰﾄｻﾝﾌﾟﾙ,ｱｰﾄｻﾝﾌﾟﾙ,812-0854,福岡県福岡市博多区東月隈5丁目22-15,092-400-4404,
700015,ｱｰﾄｳｨﾝｽﾞ□,,ｱｰﾄｳｨﾝｽﾞ□,,,,,
700031,株式会社ｱｰﾙ　商品ｾﾝﾀｰ,,ｱｰﾙ,ｱｰﾙ,633-0055,奈良県桜井市安倍木材団地2-2-1,06-6768-5201,06-6768-5204
700035,ｱｲｱｲﾃｨ□,,ｱｲｱｲﾃｨ□,,,,,
700041,株式会社ｱｰﾙｻﾝﾌﾟﾙ,,ｱｰﾙｻﾝﾌﾟﾙ,ｱｰﾙｻﾝﾌﾟﾙ,422-8033,静岡県静岡市駿河区登6-12-13,054-266-6031,054-266-6032
700045,ISﾋｰﾀｰ□,,ISﾋｰﾀｰ□,,,,,
700055,ｱｲｹｰｼﾞｰ□,,ｱｲｹｰｼﾞｰ□,,,,,
700062,株式会社ｱｲﾄﾞｳ,,ｱｲﾄﾞｳ,ｱｲﾄﾞｳ,063-0033,札幌市西区西野3条7-5-48,011-661-0802,011-661-0862
700065,ｱｲﾒｯｸｽ□,,ｱｲﾒｯｸｽ□,,,,,
700072,株式会社安西製作所 北海道支店,購買課 浪越,安西製作所,ｱﾝｻﾞｲ,082-0004,北海道河西郡芽室町東芽室北1線10番29号,0155-62-6350,0155-62-6365
700076,ｱｲﾗｲﾝ□,,ｱｲﾗｲﾝ□,,,,,
700081,旭化成建材株式会社 事業本部,断熱住宅資材事業企画部,旭化成建材 商品開発,ｱｻﾋｶｾｲｹﾝｻﾞ,101-8101,東京都千代田区神田神保町1丁目105神保町三井ﾋﾞﾙﾃﾞｨﾝｸﾞ,03-3296-5466,03-3296-3520
700085,ｱｷｭﾚｲﾄ□,,ｱｷｭﾚｲﾄ□,ｱｷｭﾚｲﾄｼｶｸ,,,,
700091,旭化成住工株式会社 技術部古川,,旭化成住工生産技術部,ｱｻﾋｶｾｲｼﾞｭｳ,527-0103,滋賀県東近江市湯屋町1番地,0749-45-1528,0749-45-3062
700095,あけぼの化成□,,あけぼの化成□,,,,,
700101,旭化成住工株式会社ｱｾﾝﾌﾞﾙ1課,,旭化成住工ｱｾﾝﾌﾞﾙ,ｱｻﾋｶｾｲｼﾞｭｳ,527-0103,滋賀県東近江市湯屋町1番地 第二製造部,0749-45-2634,0749-45-3290
700105,浅田石油□,,浅田石油□,,,,,
700111,旭ｺﾞﾑ株式会社本社,,旭ｺﾞﾑ本社,ｱｻﾋｺﾞﾑ,550-0004,大阪市西区靫本町2丁目6-18,06-6441-5071,06-6441-5069
700115,旭ﾌﾟﾚｼｼﾞｮﾝ□,,旭ﾌﾟﾚｼｼﾞｮﾝ□,,,,,
700121,旭ｺﾞﾑ株式会社枚方事業所,,旭ｺﾞﾑ枚方事業所,ｱｻﾋｺﾞﾑ,573-0005,枚方市池の宮4丁目15-8,072-840-5541,072-840-5069
700125,安達新産業株式会社,,安達新産業,ｱﾀﾞﾁｼﾝｻﾝｷﾞ,550-0012,大阪府大阪市西区立売堀1-14-20ｱﾆｯｸｽﾋﾞﾙ10階,06-6536-2051,06-6536-2015
700131,有限会社ｱｻﾋｻﾝﾌﾟﾙ,,ｱｻﾋｻﾝﾌﾟﾙ,ｱｻﾋｻﾝﾌﾟﾙ,422-8051,静岡市駿河区中野新田57-57,054-654-8055,054-654-8730
700141,有限会社旭食品ｻﾝﾌﾟﾙ製作所,,旭食品ｻﾝﾌﾟﾙ製作所,ｱｻﾋｼｮｸﾋﾝｻﾝ,468-0055,愛知県名古屋市天白区池場3丁目1911番地,052-801-3115,052-801-3143
700146,ｱﾗﾏｰｸﾕﾆﾌｫｰﾑ□,,ｱﾗﾏｰｸﾕﾆﾌｫｰﾑ□,,,,,
700155,ｱﾗﾑ□,,ｱﾗﾑ□,,,,,
700161,安藤食品ｻﾝﾌﾟﾙ製作所 700161,,安藤食品ｻﾝﾌﾟﾙ製作所,ｱﾝﾄﾞｳ,511-0009,三重県桑名市桑名476-90,0594-84-7355,0594-84-7356
700165,ｱﾘｽｹﾐｶﾙ(株)□,,ｱﾘｽｹﾐｶﾙ(株)□,,,,,
700171,旭ｺﾞﾑ株式会社 船橋営業所,,旭ｺﾞﾑ 船橋営業所,ｱｻﾋｺﾞﾑ,273-0018,千葉県船橋市栄町2-9-13,047-435-1881,047-431-0105
700176,ｱﾙﾊﾟｽﾀｯﾌ□,,ｱﾙﾊﾟｽﾀｯﾌ□,,,,,
700181,株式会社ｱﾌﾟﾘｺ,,株式会社ｱﾌﾟﾘｺ,ｱﾌﾟﾘｺ,157-0061,東京都世田谷区北烏山2-5-11,090-1059-0125,
700191,株式会社ｱｲｴｲｼｰｺﾏｰｽ,,株式会社ｱｲｴｲｼｰｺﾏｰｽ,ｱｲｴｲｼｰｺﾏｰｽ,102-0072,東京都千代田区飯田橋3-11-13i-MARK ANNEX9F,03-6261-6830,
700201,朝日ｽﾁｰﾙ工業株式会社,,朝日ｽﾁｰﾙ工業株式会社,ｱｻﾋｽﾁｰﾙｺｳｷ,760-8529,香川県高松市花園町1丁目2番29号,087-833-5153,
700211,荒川化学株式会社,,荒川化学株式会社,ｱﾗｶﾜｶｶﾞｸｶﾌ,651-2276,兵庫県神戸市西区春日台6丁目22-3,078-961-6399,078-961-6722
