商品ｺｰﾄﾞ,商品名,商品名索引,単位
700001D001005,8色ﾁｮｺｽﾌﾟﾚｰ(100g),8ｲﾛﾁｮｺｽﾌﾟﾚ,袋
700001D001006,8色ﾁｮｺｽﾌﾟﾚｰ(100g)　1kg～ご注文分,8ﾛﾁｮｺｽﾌﾟﾚ,袋
700001D002001,うどんD-4,ｳﾄﾞﾝD-5,kg
700001D002002,うどんD-5 □5.0x3.5,ｳﾄﾞﾝD-5,kg
700001D004001,きし麺 D-5 □7.0x2.0,ｷｼﾒﾝ,kg
700001D004002,きし麺 D-5 □10.0x2.0,ｷｼﾒﾝ,kg
700001D004003,きし麺 D-6 □10.0x2.0 (非ﾌﾀﾙ酸),ｷｼﾒﾝ,kg
700001D004004,きし麺 D-6 □7.0x2.0 (非ﾌﾀﾙ酸),ｷｼﾒﾝ,kg
700001D005001,ｺﾞﾏ,ｺﾞﾏ,kg
700001D006001,ｽﾊﾟｹﾞﾃｨ φ2.2mm (中華そばC原料),ｽﾊﾟｹﾞﾃｨ,kg
700001D007001,そうめん,ｿｳﾒﾝ,kg
700001D007002,素麺 1.2φ,,
700001D009001,ちゃんぽん麺,ﾁｬﾝﾎﾟﾝﾒﾝ,kg
700001D010001,ﾊﾟﾝ粉 小,ﾊﾟﾝｺ ｼｮｳ,kg
700001D011001,ひやむぎ 1.8角,ﾋﾔﾑｷﾞ,kg
700001D012001,ﾋﾞﾘﾔﾆﾗｲｽ(標準色),ﾋﾞﾘﾔﾆﾗｲｽ(ｼ,kg
700001D013001,ﾌｪｯﾄﾁｰﾈ 7mmx2mm(中華そばC原料),ﾌｪｯﾄﾁｰﾈ 7m,kg
700001D014001,黄ｽﾊﾟ　φ2.2,ｷｽﾊﾟ,kg
700001D017001,紅しょうが,ﾍﾞﾆｼｮｳｶﾞ,kg
700001D017002,紅しょうが 角2mmX2mm,ﾍﾞﾆｼｮｳｶﾞ ｶ,㎏
700001D017003,紅しょうが 角3mmX3mm,ﾍﾞﾆｼｮｳｶﾞｶｸ,㎏
700001D018001,春雨,ﾊﾙｻﾒ,kg
700001D018002,春雨4(非ﾌﾀﾙ酸) 角1.5mm,ﾊﾙｻﾒ,kg
700001D019001,青ﾈｷﾞ 1巻=5kg 150m(ﾋﾓ) 普通10mm,,
700001D020001,濃青ねぎ　φ8.0,ｺｲｱｵﾈｷﾞ,kg
700001D020002,薄青ねぎφ8.0,ｳｽｱｵﾈｷﾞ,kg
700001D020003,薄青ねぎφ3x1.8,ｳｽｱｵﾈｷﾞ,kg
700001D020008,濃青ねぎ　φ12.0,ｺｲｱｵﾈｷﾞ,kg
700001D021001,赤ｽﾊﾟ2,ｱｶｽﾊﾟ,kg
700001D021002,赤ｽﾊﾟ(在庫品)10kg,ｱｶｽﾊﾟ(ｻﾞｲｺ,kg
700001D021003,赤ｽﾊﾟ(在庫品)20kg,ｱｶｽﾊﾟ(ｻﾞｲｺ,kg
700001D022001,大根のけん0.8x1.2角,ﾀﾞｲｺﾝｹﾝ,kg
700001D023001,中華そばB □1.7,ﾁｭｳｶｿﾊﾞB,kg
700001D023002,中華そばC □1.7,C,kg
700001D024001,白ｽﾊﾟ 3.9mm(標準ｻｲｽﾞ外),ｽﾊﾟｹﾞﾃｨ,kg
700001D024002,白ｽﾊﾟφ2.2,ｼﾛｽﾊﾟ,kg
700001D025001,白ﾈｷﾞ 1巻=5kg 150m(ﾋﾓ) 普通10mm,ｼﾛﾈ,
700001D026001,和そば□1.8,ﾜｿﾊﾞ,kg
700001D030001,ｺｰﾙｽﾛｰ白,ｺｰﾙｽﾛｰｼﾛ,kg
700001D030011,ｺｰﾙｽﾛｰ緑,ｺｰﾙｽﾛｰﾐﾄﾞﾘ,kg
700001D030021,にんじんｼｰﾄ,ﾆﾝｼﾞﾝｼｰﾄ,kg
700001K003001,お米 白3,ｵｺｺﾒ ｼﾛ3,kg
700001K003002,お米 標準,ｵｺﾒ ﾋｮｳｼﾞｭ,kg
700001K008002,ﾀｲ米(標準),ﾀｲﾏｲ,kg
700001K015001,岩崎人口米(非ﾌﾀﾙ仕様)白4 運賃込 ～6t,ｲﾜｻｷｼﾞﾝｺｳﾏ,kg
700001K016001,玄米,ｹﾞﾝﾏｲ,kg
700031D001001,すきま風防止ﾃｰﾌﾟｸﾘｱ H-2101用 A40400A,ｽｷﾏｶｾﾞﾎﾞｳｼ,枚
700062I001001,ﾊｶﾞｷﾚｰﾙ(14F010)透明 L=2000,ﾊｶﾞｷﾚｰﾙ,本
700062I001002,ﾊｶﾞｷﾚｰﾙ(14F010)白 L=2000,ﾊｶﾞｷﾚｰﾙ,本
700062I002001,ﾊｶﾞｷﾚｰﾙ(14F020)透明 L=2000,ﾊｶﾞｷﾚｰﾙ,本
700062I002002,ﾊｶﾞｷﾚｰﾙ(14F020)白 L=2000,ﾊｶﾞｷﾚｰﾙ,本
700062I003001,ﾌﾟﾗｲｽﾌｯｸ(ﾄｰﾒｰ)L=2000 1000本/回,ﾌﾟﾗｲｽﾌｯｸ,本
700062I003002,ﾌﾟﾗｲｽﾌｯｸ(ﾄｰﾒｰ)L=2000　再生品,ﾌﾟﾗｲｽﾌｯｸ,本
700062I004001,ﾒﾆｭｰ台,ﾒﾆｭｰﾀﾞｲ,本
700091D001001,J-BPM-1(5ｹｲﾘ) 87059,,
700121D001001,ﾄﾘﾑ ﾌﾞﾙｰ,,
700151K001001,RIGID-PIN E2A0522-4,ﾘｼﾞｯﾄﾞﾋﾟﾝ,個
700201D001001,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ 100m巻 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻
700201D001002,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ 100m巻 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻
700201D001003,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ100m巻 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻
700201D002001,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=970 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002002,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=930 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002003,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=740 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002004,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=1000W,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002005,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=970 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002006,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=930 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002007,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=740 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002008,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=1000GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002009,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=970 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
700201D002010,目隠ｼﾌｪﾝｽ用9ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞL=930 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,本
