商品ｺｰﾄﾞ,商品名,単位,種別,主仕入先ｺｰﾄﾞ,1
S700000B00101,運賃（美唄仕入用）,,001,700000,1
S700000D00101,運賃(大阪仕入用),,001,700000,1
S700000D00201,名前なし,,001,700000,1
S700000D00301,運賃(第一)435x385x230,,001,700000,1
S700000D00302,運賃(第一)420x420x250,,001,700000,1
S700000D00303,運賃(第一)2025x180x165 ｴﾑｹｰﾃｰ,,001,700000,1
S700000D00401,運賃(西濃)W190xD480xH300,,001,700000,1
S700000D00402,運賃(西濃)納入先:(株)ﾘｯﾁｪﾙ東陽倉庫,,001,700000,1
S700000H00000,名前なし,,001,700000,1
S700000H00101,金型仕入,,001,700000,1
S700000H00201,修理,,001,700000,1
S700000H00301,消耗品,式,001,700000,1
S700000H00401,開発,,001,700000,1
S700000H00501,試作費,式,001,700000,1
S700000H00511,開発費(自社金型),式,001,700000,1
S700000H00601,材料代,,001,700000,1
S700000H00701,源泉・復興税 10.21%,,001,700000,1
S700000H00801,機械,式,001,700000,1
S700000I00101,運賃(石狩仕入用),,001,700000,1
S700035H00101,訪問ｺﾝｻﾙﾃｨﾝｸﾞ(ｱｲｱｲﾃｨ),時間,001,700035,1
S700035H00202,財務研修(ｱｲｱｲﾃｨ),時間,001,700035,1
S700045I00101,BOXﾋｰﾀｰ 内寸121x111x80 (110v/450w),組,001,700045,1
S700045I00102,BOXﾋｰﾀｰ 内寸250x120x100 110V/900W,組,001,700045,1
S700045I00103,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ100ｘ40L 220V 400W,組,001,700045,1
S700045I00104,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ100ｘ45L 220V 400W,組,001,700045,1
S700045I00105,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ100ｘ60L 220V 550W,組,001,700045,1
S700045I00106,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ110ｘ40L 220V 400W,組,001,700045,1
S700045I00107,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ120ｘ40L 220V 480W,組,001,700045,1
S700045I00108,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ120ｘ60L 220V 650W,組,001,700045,1
S700045I00109,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ135ｘ55L 220V 500W,組,001,700045,1
S700045I00110,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ150ｘ60L 220V 1000W,組,001,700045,1
S700045I00111,温調穴10φﾋｰﾀｰ角形100*100*20/110V180,組,001,700045,1
S700045I00112,温調穴10φﾋｰﾀｰ角形100*100*40/110V225,組,001,700045,1
S700045I00113,温調穴10φﾋｰﾀｰ角形100*100*60/110V375,組,001,700045,1
S700045I00114,温調穴10φﾋｰﾀｰ角形74*74*30/110V130W,組,001,700045,1
S700045I00115,温調穴10φﾋｰﾀｰ角形90*90*55/110V325W,組,001,700045,1
S700045I00116,温調穴10φﾋｰﾀｰ角形98*98*40(110V/225W,組,001,700045,1
S700045I00117,温調穴13φﾋｰﾀｰ角形98*98*30(110V･180W,組,001,700045,1
S700045I00118,ﾊﾞﾝﾄﾞﾋｰﾀｰ φ60ｘ35L 220V 150W,組,001,700045,1
S700085D00101,SUS304密着ｺｲﾙばねφ2.5×φ36.3×1500,本,001,700085,1
S700095D00101,ﾄﾖﾗｯｸ 900-352 (ｽﾗｲﾄﾞｾﾙ)*,,001,700095,1
S700095D00201,LDPEﾊﾟｲﾌﾟ 31x37.5 1890L,,001,700095,1
S700095D00301,PEﾊﾟｲﾌﾟ60x65x300L *,,001,700095,1
S700095D00401,ABSﾊﾟｲﾌﾟ8x12 410L,,001,700095,1
S700095D00402,ABSﾊﾟｲﾌﾟ5.6x12 150L 1000本ﾛｯﾄ,,001,700095,1
S700095D00501,BC8A,,001,700095,1
S700095D00602,AS171L,KG,001,700095,1
S700095D00603,PVC透明ﾊﾟｲﾌﾟφ22xφ16x2000L 200本～,本,001,700095,1
S700095D00701,硬質PVCﾊﾟｲﾌﾟ φ13xφ9 L=1850,本,001,700095,1
S700095D00801,MC2-24-12955　ﾌﾞﾗｳﾝ(4.5),kg,001,700095,1
S700095D00901,ﾊﾞｸﾃｷﾗｰ,kg,001,700095,1
S700095D01001,ﾌﾟﾛﾋﾞｯｸﾏｽﾀｰ,,001,700095,1
S700095D02001,HDPEﾊﾟｲﾌﾟφ40*37XL1159,,001,700095,1
S700095D03001,PVC透明ﾊﾟｲﾌﾟφ22xφ16x2000L 140本,1,001,700095,1
S700105D00101,検査手数料印紙代,,001,700105,1
S700105D00102,自賠責保険料,,001,700105,1
S700105D00104,重量税,,001,700105,1
S700105D00105,登録代行費,,001,700105,1
S700105D00106,ｶﾞｿﾘﾝ代,,001,700105,1
S700125I00101,X 光拡散PP-MB MBG102H01DL/500kg X,kg,001,700125,1
S700125I00102,X 光拡散PP-MB MBG102H01D/1000kg X,kg,001,700125,1
S700125I00103,X 光拡散PP-MB MBG102H01D/2000kg X,kg,001,700125,1
S700125I00201,光拡散PP-MB XMBG105H02DH/500kg,kg,001,700125,1
S700125I00202,光拡散PP-MB XMBG105H02DH/1000kg,kg,001,700125,1
S700125I00203,光拡散PP-MB XMBG105H02DH/2000kg,kg,001,700125,1
S700146B00101,52200-044 ｼﾞｬﾝﾊﾟｰ ﾌﾞﾗｯｸ SS-LL,枚,001,700146,1
S700146B00201,52202-044 ﾉｰﾀｯｸｶｰｺﾞﾊﾟﾝﾂ ﾌﾞﾗｯｸ 70-88,枚,001,700146,1
S700146B00301,刺繍 社名･名前入り,枚,001,700146,1
S700146I00101,ﾂｰﾀｯｸｶｰｺﾞﾊﾟﾝﾂ ﾈｲﾋﾞｰ W70～88 男性用 A,枚,001,700146,1
