仕入先ｺｰﾄﾞ,仕入先名１,仕入先名２,仕入先名略称,仕入先名索引,郵便番号,住所１住所２,電話番号,ＦＡＸ番号
710085,株式会社秋山化学工業所,,秋山化学工業所,ｱｷﾔﾏｶｶﾞｸｺｳ,544-0004,大阪府大阪市生野区巽北1丁目13-23,06-6751-4887,06-6751-4888
700095,あけぼの化成株式会社,,あけぼの化成,ｱｹﾎﾞﾉ,582-0027,大阪府柏原市円明町741-1,0729-76-1041,0729-77-9101
700125,安達新産業株式会社,,安達新産業,ｱﾀﾞﾁｼﾝ,550-0012,大阪府大阪市西区立売堀1-14-20ｱﾈｯｸｽﾋﾞﾙ10F,06-6536-2051,06-6536-2015
700165,ｱﾘｽｹﾐｶﾙ株式会社,,ｱﾘｽｹﾐｶﾙ株式会社,ｱﾘｽｹﾐｶﾙ,578-0901,大阪府東大阪市加納4-14-16,0729-60-2455,0729-64-5231
701135,ｲﾁｲ有限会社,,ｲﾁｲ,ｲﾁｲ,574-0042,大阪府大東市大野1丁目9-10,072-872-0519,072-874-0041
701155,伊藤忠ﾌﾟﾗｽﾁｯｸｽ株式会社,,伊藤忠ﾌﾟﾗｽﾁｯｸｽ//,ｲﾄｳﾁｭｳﾌﾟﾗｽ,540-6028,大阪市中央区城見1-2-27大阪樹脂一部 販売一課,06-4794-7931,06-4794-7941
701185,稲畑産業株式会社,,稲畑産業//,ｲﾅﾊﾞﾀｻﾝｷﾞｮ,542-0081,大阪市中央区南船場1丁目15-14 合成樹脂第一本部,06-6267-6256,06-6267-6030
703026,ｴｱ･ｳｫｰﾀｰ株式会社,,ｴｱ･ｳｫｰﾀｰ,ｴｱｳｵｰﾀｰ,105-0001,東京都港区虎ノ門3丁目18番19号,03-3578-7824,03-3578-7828
704145,岡畑産業株式会社,,岡畑産業,ｵｶﾊﾀｻﾝｷﾞｮｳ,542-0081,大阪府大阪市中央区南船場1-7-11,06-6262-0641,06-6266-0458
704165,株式会社小椋商店,,小椋商店,ｵｸﾞﾗｼｮｳﾃﾝ,556-0006,大阪市浪速区日本橋東3-10-5,06-6631-1901,06-6631-7908
711076,北村化学産業株式会社//,,北村化学産業//,ｷﾀﾑﾗ,004-0041,札幌市厚別区大谷地東１丁目3-23山勇ﾋﾞﾙ3F,011-801-3322,011-801-3323
712015,国松株式会社,,国松,ｸﾆﾏﾂ,538-0054,大阪府大阪市鶴見区緑2-6-12,06-6911-1591,06-6911-8650
712035,ｸﾗﾚﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,大阪ｴﾗｽﾄﾏｰG,ｸﾗﾚﾄﾚｰﾃﾞｨﾝｸﾞ,ｸﾗﾚﾄﾚｰﾃﾞｨﾝ,530-8611,大阪府大阪市北区角田町８番１号梅田阪急ﾋﾞﾙｵﾌｨｽﾀﾜｰ39階,06-7635-1800,06-7635-1983
712031,ｸﾗﾚﾌｧｽﾆﾝｸﾞ株式会社,,ｸﾗﾚﾌｧｽﾆﾝｸﾞ,ｸﾗﾚﾌｧｽﾆﾝｸﾞ,530-8611,大阪府大阪市北区角田町8-1梅田阪急ﾋﾞﾙｵﾌｨｽﾀﾜｰ,06-7635-1868,06-7635-1860
720096,ｻﾝ･ｱﾛｰ化成株式会社,,ｻﾝ･ｱﾛｰ化成,ｻﾝｱﾛｰ,541-0041,大阪府大阪市北区中之島2丁目2-7中之島ｾﾝﾄﾗﾙﾀﾜｰ19階,06-6204-0679,06-6228-0165
720235,有限会社三輝化成,,三輝化成//,ｻﾝｷｶｾｲ,579-8025,大阪府東大阪市宝町9番37号,0729-84-6521,0729-81-7233
720121,三協化工株式会社,,三協化工,ｻﾝｷｮｳｶｺｳ,547-0001,大阪市平野区加美北6-2-22,06-6792-6825,06-6793-6200
720305,三晃ﾃｲｴﾋﾟｰ株式会社,,三晃ﾃｲｴﾋﾟｰ//,ｻﾝｺｳﾃｲｴﾋﾟｰ,577-0809,大阪府東大阪市永和2丁目2-34,06-6723-3311,06-6723-3378
720325,三泉工業株式会社,,三泉工業//,ｻﾝｾﾝｺｳｷﾞｮｳ,577-0025,東大阪市新家2丁目7-13,06-6781-3003,06-6781-3043
720335,ｻﾝﾄｯｸｽ株式会社,,ｻﾝﾄｯｸｽ,ｻﾝﾄｯｸｽ,,東京都西新橋1-4-5 ﾄｸﾔﾏﾋﾞﾙ別館2,03-3597-5057,03-3597-5050
721136,昭和興産株式会社,北海道営業所,昭和興産,ｼｮｳﾜｺｳｻﾝ,060-0002,札幌市中央区北2条西3丁目1番地敷島ﾋﾞﾙ4階,011-231-2428,011-221-0856
721175,信越ﾎﾟﾘﾏｰ株式会社 名古屋支店,,信越ﾎﾟﾘﾏｰ 名古屋支店,ｼﾝｴﾂﾎﾟﾘﾏｰﾅ,450-0002,名古屋市中村区名駅4-26-25名古屋大商ﾋﾞﾙ (片田様) 化成品,052-581-4233,052-581-2921
721196,新ｹﾐｶﾙ商事株式会社,,新ｹﾐｶﾙ商事,ｼﾝｹﾐｶﾙ,060-0005,札幌市中央区北5条西5丁目2-5信金中央金庫ﾋﾞﾙ7F,011-222-7708,011-222-7675
722035,鈴五商事株式会社,,鈴五商事//,ｽｽﾞｺﾞｼｮｳｼﾞ,530-0043,大阪市北区天満4丁目3番15号,06-6352-3051,06-6352-3973
723135,ｾﾝﾀﾞｲ工業株式会社,,ｾﾝﾀﾞｲ工業,ｾﾝﾀﾞｲｺｳｷﾞｮ,555-0011,大阪市西淀川区竹島2-4-24,06-6478-8088,06-6478-8077
723145,ｾﾞﾝﾉ株式会社,,ｾﾞﾝﾉ,ｾﾞﾝﾉ,550-0002,大阪府大阪市西区江戸堀1-20-21,06-6443-4461,06-6443-4468
723155,千里工業株式会社,,千里工業,ｾﾝﾘｺｳｷﾞｮｳ,578-0901,東大阪市加納8-34-21,072-873-7731,072-873-7734
731015,株式会社中越黒鉛工業所,,中越黒鉛工業所,ﾁｭｳｴﾂｺｸｴﾝ,559-0026,大阪市住之江区平林北1-2-27,06-6681-2555,06-6681-6490
732075,ﾂﾔﾏ産業(ﾂﾔﾏﾀｹｼ),,ﾂﾔﾏ産業//(ﾂﾔﾏﾀｹｼ),ﾂﾔﾏｻﾝｷﾞｮｳ,577-0065,東大阪市高井田中3丁目12-5,06-4308-8221,06-4308-8220
740065,中本ﾊﾟｯｸｽ株式会社,ﾊﾟｯｹｰｼﾞﾝｸﾞ事業本部,中本ﾊﾟｯｸｽ,ﾅｶﾓﾄﾊﾟｯｸｽ,543-0012,大阪市天王寺区空堀町2-8,06-6762-2150,06-6762-5720
741062,株式会社ﾆｯｸｽ,,ﾆｯｸｽ 石狩,ﾆｯｸｽ,220-6108,神奈川県横浜市西区みなとみらい2-3-3 ｸｨｰﾝｽﾞﾀﾜｰB 8Ｆ,045-221-1350,045-221-1231
752015,富士黒鉛工業株式会社,,富士黒鉛工業株式会社,ﾌｼﾞｺｸｴﾝｺｳｷ,157-0066,東京都世田谷区成城8-33-2,03-3483-0357,03-3483-7444
760195,丸安産業株式会社,,丸安産業,ﾏﾙﾔｽｻﾝｷﾞｮｳ,541-0045,大阪府大阪市中央区道修町1-7-1北浜TNKﾋﾞﾙ11階,06-6203-3194,06-6203-1738
764066,森六ｹﾐｶﾙｽﾞ株式会社,,森六ｹﾐｶﾙｽﾞ,ﾓﾘﾛｸｹﾐｶﾙｽﾞ,060-0033,札幌市中央区北3条東3丁目1-30KNﾋﾞﾙ5階,011-222-6313,011-222-7293
