仕入先ｺｰﾄﾞ,仕入先名１,仕入先名２,仕入先名略称,仕入先名索引,郵便番号,住所１,電話番号,ＦＡＸ番号
712055,株式会社栗巣鉄工,,株式会社栗巣鉄工,ｸﾘｽﾃｯｺｳ,577-0849,大阪府東大阪市三ノ瀬3丁目3番18号,06-6729-0641,
720421,坂口電熱株式会社　関西営業所,,坂口電熱(株)　関西営業所,ｻｶｸﾞﾁﾃﾞﾝﾈﾂ,532-0011,大阪府大阪市淀川区西中島3-23-16,06-6101-6622,06-6300-2368
741261,日本PDI株式会社,,日本PDI(株),ﾆﾎﾝ,454-0014,愛知県名古屋市中川区柳川町9番24号,052-253-8796,052-253-8795
744035,株式会社NOBBY,,(株)NOBBY,ﾉﾋﾞｰ,545-0052,大阪府大阪市阿倍野区阿倍野筋3-3-2ｱﾍﾞﾉ寿ﾋﾞﾙ102,06-6623-8115,06-6623-8135
760001,松岡満運輸株式会社,,松岡満運輸,ﾏﾂｵｶﾏﾝｳﾝﾕ,578-0957,大阪府東大阪市本庄中1-4-90東大阪第一ﾄﾗｯｸﾀｰﾐﾅﾙ,06-6747-5637,06-6747-5630
723151,積水樹脂ｷｬｯﾌﾟｱｲｼｽﾃﾑ株式会社,水田様,積水樹脂ｷｬｯﾌﾟｱｲｼｽﾃﾑ,ｾｷｽｲｼﾞｭｼｷｬ,535-0031,大阪府大阪市旭区高殿2-21-25,06-6926-2105,06-6926-2106
741251,株式会社ﾆｯｶﾎﾞｯｶﾄﾚｰﾃﾞｨﾝｸﾞﾊｳｽ,,ﾆｯｶﾎﾞｯｶﾄﾚｰﾃﾞｨﾝｸﾞﾊｳｽ,ﾆｯｶﾎﾞｯｶﾄﾚｰ,590-0924,大阪府堺市堺区桜之町東1-2-25,072-228-9710,072-228-8651
741261,日本PDI株式会社,,日本PDI,ﾆﾎﾝ,454-0014,愛知県名古屋市中川区柳川町9番24号,052-253-8796,052-253-8795
744031,野村貿易株式会社,,野村貿易,ﾉﾑﾗﾎﾞｳｴｷｶﾌ,105-0001,東京都港区虎ノ門4-3-13ﾋｭｰﾘｯｸ神谷町ﾋﾞﾙ7階,03-3438-7628,03-3438-7835
760211,株式会社ﾏﾙﾜ　関西営業所,,ﾏﾙﾜ　関西営業所,ﾏﾙﾜ ｶﾝｻｲｴｲ,640-8431,和歌山県和歌山市向164-1,073-455-5735,073-455-5230
