表示ｺｰﾄﾞ,新商品ｺｰﾄﾞ案,商品名,商品名索引,単位,製品長さ(mm),ｶｯﾄ長さ(mm),得意先(検索)ｺｰﾄﾞ
1,721136I005101,一体枠上枠ｺ型ｶﾊﾞｰ　L=3800mm 1000本/,ﾋﾞｰﾄﾞ12.5,本,0,0,721136
1,721152I000101,ｿｰﾗｰﾊﾟﾈﾙ樹脂ﾌﾚｰﾑ　250ｍ以下の注文,ｿｰﾗｰﾊﾟﾈﾙｼﾞ,式,0,0,721152
0 ,721152I000102,ｿｰﾗｰﾊﾟﾈﾙ 樹脂ﾌﾚｰﾑ 受注ﾛｯﾄ:1000m以上,ｿｰﾗｰﾊﾟﾈﾙ ｼ,ｍ,0,0,721152
0 ,721152I000103,端面45度切断加工費,ｿｰﾗｰﾊﾟﾈﾙｼﾞ,本,0,0,721152
1,721171D000101,ｱﾙﾐ枠ﾊﾟﾈﾙ取付ﾌﾚ-ﾑ(小)（伸栄）,ｱﾙﾐﾜｸ,本,0,0,721171
1,721171D000102,ｱﾙﾐ枠ﾊﾟﾈﾙ取付ﾌﾚ-ﾑ(大)（伸栄）,ｱﾙﾐﾜｸ,本,0,0,721171
1,721171D000201,66560003 ｱﾙﾐ枠溝ｶｸｼ L=2000,,本,2000,2010,721171
1,721171D000301,ﾓｼﾞｭｰﾙ台車 ZD37C06A L=1000,ﾓｼﾞｭｰﾙﾀﾞｲｼ,本,0,0,721171
1,721171D000302,ﾓｼﾞｭｰﾙ台車 L=1205,ﾓｼﾞｭｰﾙﾀﾞｲｼ,本,0,0,721171
1,721171D000303,ﾓｼﾞｭｰﾙ台車 L=1870,ﾓｼﾞｭｰﾙﾀﾞｲｼ,本,0,0,721171
0 ,721181D000101,原料,ｹﾞﾝﾘｮｳ,kg,0,0,721181
1,721181D000201,CSN-LY10 中空ｺｰﾅｰｶﾞｰﾄﾞ(65x65)L1000,ﾁｭｳｸｳｺｰﾅｰｶ,本,1000,1015,721181
0 ,721181D000301,CSN中空ｺｰﾅｰｶﾞｰﾄﾞ(65x65)L1000 300本LY,ﾁｭｳｸｳｺｰﾅｰｶ,本,1000,1015,721181
1,721181D000401,CSN-A10 中空ｺｰﾅｰｶﾞｰﾄﾞ(65x65)L1000,ﾁｭｳｸｳｺｰﾅｰｶ,本,1000,1015,721181
0 ,721181D000501,CSN中空ｺｰﾅｰｶﾞｰﾄﾞ(65x65)L1000 300本I,ﾁｭｳｸｳｺｰﾅｰｶ,本,1000,1015,721181
1,721181D000302,CSN中空ｺｰﾅｰｶﾞｰﾄﾞ(65x65)L2000本LY,ﾁｭｳｸｳｺｰﾅｰｶ,本,2000,2030,721181
1,721181D000401,FS-G10 (EVAｻｸﾋﾞ中空ﾊﾟｯｷﾝ L=1000),,本,1000,1010,721181
1,721181D000501,FS-LY10 (EVAｻｸﾋﾞ中空ﾊﾟｯｷﾝ L=1000),,本,1000,1010,721181
1,721181D000601,FS-GL10 (EVAｻｸﾋﾞ中空ﾊﾟｯｷﾝ L=1000),,本,1000,1010,721181
0 ,721181D001101,H鋼ｴｯｼﾞｶﾊﾞｰ 3mm巾 1000L ﾚﾓﾝｲｴﾛｰ,ｴｯﾁｺｳ,本,1000,1015,721181
1,721181D001102,H鋼ｴｯｼﾞｶﾊﾞｰ 3mm巾 1000L LY,,本,1000,1015,721181
1,721181D001201,H鋼ｴｯｼﾞｶﾊﾞｰ 8mm巾 1000L LY,,本,1000,1015,721181
1,721181D001301,H鋼ｴｯｼﾞｶﾊﾞｰ 10mm巾 1000L LY,,本,1000,1015,721181
1,721181D001401,H鋼ｴｯｼﾞｶﾊﾞｰ 12mm巾 1000L　LY,,本,1000,1015,721181
1,721181D001402,H鋼ｴｯｼﾞｶﾊﾞｰ 12mm巾 2000L LY,,本,2000,2030,721181
1,721181D001501,H鋼ｴｯｼﾞｶﾊﾞｰ 14mm巾 1000L LY,,本,1000,1015,721181
1,721181D001601,H鋼ｴｯｼﾞｶﾊﾞｰ 15mm巾 1000L LY,,本,1000,1015,721181
1,721181D001701,H鋼ｴｯｼﾞｶﾊﾞｰ 16mm巾 1000L LY,,本,1000,1015,721181
1,721181D001702,H鋼ｴｯｼﾞｶﾊﾞｰ 16mm巾 2000L LY,,本,2000,2030,721181
1,721181D001801,H鋼ｴｯｼﾞｶﾊﾞｰ 19mm巾 1000L LY,ｴｯﾁ,本,1000,1015,721181
1,721181D001901,H鋼ｴｯｼﾞｶﾊﾞｰ 21mm巾 1000L,,本,1000,1015,721181
1,721181D002101,H鋼ｴｯｼﾞｶﾊﾞｰ 22mm巾 1000L LY,,本,1000,1015,721181
