表示ｺｰﾄﾞ,新商品ｺｰﾄﾞ案,商品名,商品名索引,単位,製品長さ(mm),ｶｯﾄ長さ(mm),得意先(検索)ｺｰﾄﾞ
0,712061D002501,36330-63331ﾎｺﾞｺﾞﾑPSﾊﾟｲﾌﾟ1袋(10000以,,,60,60,712061
1,712122I000602,ｶﾞﾗｽﾗｲﾅｰ 1.5mm L=53 ｶｯﾄ 50000個~,ｶﾞﾗｽﾗｲﾅｰ,個,0,0,712122
1,712122I000702,ｶﾞﾗｽﾗｲﾅｰ 2.0mm L=53 ｶｯﾄ 50000個~,ｶﾞﾗｽﾗｲﾅｰ,個,0,0,712122
1,712122I000802,ｶﾞﾗｽﾗｲﾅｰ 3.0mm L=53 ｶｯﾄ 50000個~,ｶﾞﾗｽﾗｲﾅｰ,個,0,0,712122
0,712122I002302,気密ﾊﾟｯｷﾝ2　2000ｍ以上,ｷﾐﾂﾊﾟｯｷﾝ2,ｍ,0,0,712122
0,712122I002303,気密ﾊﾟｯｷﾝ2　5000ｍ以上,ｷﾐﾂﾊﾟｯｷﾝ2,ｍ,0,0,712122
0,712122I002404,隙間隠し材 ﾊﾞｰｼﾞﾝ L=2600(3000~9999m),ｽｷﾏｶｸｼｻﾞｲ,本,0,0,712122
0,712122I002405,隙間隠し材 10000m/回～ (ﾊﾞｰｼﾞﾝ材),ｽｷﾏｶｸｼｻﾞｲ,ｍ,0,0,712122
0,712122I002406,隙間隠し材 10000m/回～ (粉砕再生材),ｽｷﾏｶｸｼｻﾞｲ,ｍ,0,0,712122
0,712122I003302,軟質ﾚｰﾙｶﾊﾞｰ材 L=1500 ﾛｯﾄ120本以上,ﾅﾝｼﾂﾚｰﾙｶﾊﾞ,本,0,0,712122
0,712122I003702,網戸防虫ｱﾀｯﾁﾒﾝﾄ(粉砕)L=2500 1000以上,ﾎﾞｳﾁｭｳ,本,0,0,712122
0,714091D000101,Fit基板保護ﾁｭｰﾌﾞ ｼﾝｸﾞﾙ用　1000本以上,Fitｷﾊﾞﾝ,本,4500,4600,714091
0,714091D000102,Fit基板保護ﾁｭｰﾌﾞ ｼﾝｸﾞﾙ用　100本以上,Fitｷﾊﾞﾝ,本,4500,4600,714091
0,714091D000201,Fit基板保護ﾁｭｰﾌﾞ ﾀﾞﾌﾞﾙ用　1300以上,Fitｷﾊﾞﾝ,本,4500,4600,714091
0,714091D000203,Fit基板保護ﾁｭｰﾌﾞ ﾀﾞﾌﾞﾙ用　400以上,Fitｷﾊﾞﾝ,本,4500,4600,714091
0,714091D000301,Fit基板保護ﾁｭｰﾌﾞﾌﾚｷﾀﾞﾌﾞﾙ2.5m 100本～,Fitｷﾊﾞﾝ,本,2500,2560,714091
0,714091D000302,Fit基板保護ﾁｭｰﾌﾞﾌﾚｷﾀﾞﾌﾞﾙ2.5m200本～,Fitｷﾊﾞﾝ,本,2500,2560,714091
0,714091D000303,Fit基板保護ﾁｭｰﾌﾞﾌﾚｷﾀﾞﾌﾞﾙ2.5m2200本～,Fitｷﾊﾞﾝ,本,2500,2560,714091
0,714091D000401,LED基板保護用ﾁｭｰﾌﾞ,LED,ｍ,0,0,714091
0,714091D000701,SBX-8 拡散剤 ﾃｸﾉﾎﾟﾘﾏｰ,,,0,0,714091
0,714091D001005,あんどん14R0073-0001,,,0,0,714091
0,714091D001101,ｶﾏﾎﾞｺ型(材質:LA･硬度:60A) 試作費,,,0,0,714091
0,714091D001201,ｺ型(材質:SA･硬度:60A) 試作費,,,0,0,714091
0,714091D001301,ﾃｰﾌﾟﾗｲﾄ用あんどん 16R0114-003 (100m),ｱﾝﾄﾞﾝ,M,10000,0,714091
0,714091D001303,ﾃｰﾌﾟﾗｲﾄ用あんどん 16R0114-003 (50m),ｱﾝﾄﾞﾝ,M,10000,0,714091
0,714091D001401,軟質拡散ﾊﾟｲﾌﾟ 硬度90,ﾅﾝｼﾂｶｸｻﾝﾊﾟ,本,0,0,714091
0,714132I000102,LEDｲﾚｰｻﾚﾝｽﾞ MCS-0264HK 321L /1000本,LEDｲﾚｰｻ,本,0,0,714132
