商品ｺｰﾄﾞ,商品名,単位,主仕入先ｺｰﾄﾞ
S723136D00101,ｻﾝﾄｯｸｽRW82#70 15x250m,R,723116
S723136D00102,ｻﾝﾄｯｸｽRW82#70 15X180M,R,723116
S723136D00103,ｻﾝﾄｯｸｽRW82#70 15X70M,R,723116
S723136D00201,ｻﾝﾄｯｸｽRS82#70 12x250m,R,723116
S723136D00301,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ50μ)幅175×100×5R,R,723116
S723136D00302,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ50μ)幅160×100×6R,R,723116
S723136D00303,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ50μ)幅130×100×7R,R,723116
S723136D00304,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ38μ)幅140×200×7R,R,723116
S723136D00305,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ38μ)幅140×500×7R,R,723116
S730105D00102,年末割増量　30%,,760105
S741152I00101,ｴｸｽﾊﾟﾝｾﾙ(930)MB120,ｋｇ,741156
S741182I00101,ﾐｼﾝ糸 (DS-5Ⅱ) V20/6 (白) 1㎏巻,本,741186
S744032D00101,ｷﾋﾞﾄﾝTR575(ﾆ色ｺｰﾅｰ用試作) *,,744021
S744032D00201,ｻﾝﾄｯｸｽRW82#70 15x480m,,744021
S744032D00301,ｼﾘｺﾝ金具焼付 WS-20LT-TB,,744021
S750012I00101,ﾌﾛﾛｻｰﾌ FG-3030TH-8.0,ｋｇ,750016
S752132I00101,ｱｻｸﾘﾝEX 25kg,袋,752136
S752132I00201,ﾎﾟﾘﾌﾟﾗｽ PP40-60 (20kg入),台,752136
S752132I00301,ﾛﾝｸﾞﾌｼﾞﾛｰﾌﾞ(直付) L=600,双,752136
S753082I00101,(PP)粉砕ﾙｰﾀﾞｰ加工,ｋｇ,754086
S753082I00102,HD 雑色(中密度ﾎﾟﾘｴﾁﾚﾝ M-DPE),ｋｇ,754086
S753082I00103,再生LDPE原料 雑色,ｋｇ,754086
S753082I00104,再生高圧原料（雑色）　北海樹脂,ｋｇ,754086
S753092I00101,AIRMAN OIL 20L,個,754096
S753102B00101,灯油代,,754106
S753131D00101,SS角ﾊﾟｲﾌﾟ 2.3X50角x3m,,754135
S753131D00102,ｱﾝｸﾞﾙ 3x20x2m,,754135
S753131D00103,鉄板 1.6X1m,,754135
S760182I00101,角P 1.6tx31x31x 5.5m,本,760186
S760182I00102,角P 2.3tx50x50x 5.5m,本,760186
S760182I00103,角P 3.2tx50x50x 6m,本,760186
S762012I00101,ABSﾌｨﾗﾒﾝﾄ,,762016
S762012I00102,SBﾌｨﾗﾒﾝﾄ,,762016
S762012I00103,ﾌｨﾗﾒﾝﾄ MAGIX PVA 30 500g,個,762016
S764062I00101,AES117 K-3　7D5750 ﾌﾞﾗｳﾝ 300kg未満,Kg,764066
S764062I00102,AES117 K-3　7D5750 ﾌﾞﾗｳﾝ 300g以上,Kg,764066
S764062I00103,AES117 K-3　9D8030 ﾌﾞﾗｯｸ 300kg未満,Kg,764066
S764062I00104,AES117 K-3　9D8030 ﾌﾞﾗｯｸ 300kg以上,Kg,764066
S764062I00105,AES117 K-3　CB4310 ｱｲﾎﾞﾘｰ 300kg未満,Kg,764066
S764062I00106,AES117 K-3　CB4310 ｱｲﾎﾞﾘｰ 300kg以上,Kg,764066
S764062I00107,AES117 K-3 MADT90 ｼｬｲﾝｸﾞﾚｰ 300kg未満,Kg,764066
S764062I00108,AES117 K-3 MADT90 ｼｬｲﾝｸﾞﾚｰ 300kg以上,Kg,764066
S764062I00109,AES117 K-3　OD7960 ﾎﾜｲﾄ 300kg未満,Kg,764066
S764062I00110,AES117 K-3　OD7960 ﾎﾜｲﾄ 300kg以上,Kg,764066
S764062I00201,EV-560 NA (ｴﾊﾞﾌﾚｯｸｽ),ｋｇ,764066
S764062I00301,HZﾐﾘｵﾝ 240S,ｋｇ,764066
S764062I00401,ﾐﾗｽﾄﾏｰ6030B,ｋｇ,764066
S764062I00402,ﾐﾗｽﾄﾏｰM2400B,ｋｇ,764066
S770032I00101,ﾎﾞｲﾗ複合清缶剤 ｻﾑｸﾘﾝ S-123 18kg,ｹｰｽ,770036
S770032I00102,解体撤去費,,770036
S770032I00103,建物付属設備費　使用不可,式,770036
S772052I00102,軍手 純綿ｺﾞﾑ8G＃2219 800ｇ(12双入) Y,袋,772056
S772052I00103,女性用 立体ｶｯﾄ半袖ﾌﾞﾙｿﾞﾝ ｵﾚﾝｼﾞ LL,着,772056
S772052I00111,58018 ｾｰﾌﾃｨｰｼｭｰｽﾞ 010 ﾌﾞﾗｯｸ,足,772056
S772052I00112,85102 ｾｰﾌﾃｨｰｼｭｰｽﾞ 90 ﾌﾞﾗｯｸ,足,772056
S772062I00101,ﾂｰﾀｯｸｶｰｺﾞﾊﾟﾝﾂ ﾌﾞﾙｰﾉｰﾄ 男性用 F,枚,772066
S772062I00102,ﾂｰﾀｯｸﾊﾟﾝﾂ ﾌﾞﾙｰﾉｰﾄ 男性用 F,枚,772066
S772062I00103,ﾈｰﾑ(社名) F,,772066
S772062I00104,ﾌﾞﾙｿﾞﾝ ﾈｲﾋﾞｰ 4L F,枚,772066
S772062I00105,ﾌﾞﾙｿﾞﾝ ﾈｲﾋﾞｰ M・L 女性用 F,枚,772066
S772062I00106,ﾌﾞﾙｿﾞﾝ ﾌﾞﾙｰﾉｰﾄ 男性用 F,枚,772066
S772062I00107,安全靴 F,足,772066
S772062I00108,防寒着 F,枚,772066
