仕入品コード,仕入品名DB,仕入品名スマイル
S700125I00201,"光拡散PP-MB XMBG105H02DH","光拡散PP-MB XMBG105H02DH/500kg"
S700165I00109,"MPU-1141125 FP2","MPU-141125 FP2"
S700165I00114,"MPU-141137 ＃26","MPU-141137 #26  ﾍﾞｰｽ ET385を使用"
S700165I00115,"MPU-141140 ＃61","MPU-141140 #61 ﾍﾞｰｽ ET385を使用"
S700165I00116,"MPU-141141 ＃59","MPU-141141 #59 ﾍﾞｰｽ ET385を使用"
S700165I00121,"MPU-141134 ＃50","MPU-141134 #50"
S700165K01001,"MPU-137080A ﾌﾞﾗｯｸ","MPU-137080B ﾌﾞﾗｯｸ   ﾍﾞｰｽ ET385を使用"
S700165K02001,"MPU-137081 ﾌﾞﾗｳﾝ","MPU-137081 ﾌﾞﾗｳﾝ   ﾍﾞｰｽ ET385を使用"
S701135D01401,"C-1000灰ｽﾎﾟﾝｼﾞ 27x50x200","C-1000灰 (ｽﾎﾟﾝｼﾞ)27x50x200"
S701135K00101,ITS-WTP39(EXP),ITS-WTP39(EXP)（106㎏以上）
S701155D01200,"ｱｻﾋｶｾｲ ｽﾀｲﾗｯｸABS A127S27","ｱｻﾋｶｾｲ　ｽﾀｲﾗｯｸABS A127S27"
S701155D02000,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-55 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-55 BK"
S701155D02100,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-64 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-64 BK*100kg未満"
S701155D02200,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-73 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-73 BK"
S701155D02300,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-80 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-80　ﾛｯﾄ：25kg以上"
S701155D02400,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-87 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 101-87 BK"
S701155D02500,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 103-40 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 103-40 BK"
S701155D02600,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 103-50 ﾌﾞﾗｯｸ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 103-50 BK"
S701155D03100,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 201-55 ﾎﾜｲﾄ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 201-55 ｼﾛ*"
S701155D03200,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 201-64 ﾎﾜｲﾄ","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 201-64 ｼﾛ 100kg未満"
S701155D03601,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 8201-70","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 8201-70 100kg未満"
S701155D03700,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 8201-80","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 8201-80　25Kg"
S701155D03800,"ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 8211-25","ｴｸｿﾝ ｻﾝﾄﾌﾟﾚｰﾝ 8211-25(ｼｻｸ)"
S701155D04000,"ｴｸｿﾝ ﾋﾞｽﾀﾏｯｸｽ VM6102","ｴｸｿﾝ ﾋﾞｽﾀﾏｯｸｽ VM6102 (25kgﾛｯﾄ)"
S701155D04100,"ｸﾗﾘﾃｨ LA2250","ｸﾗﾘﾃｨ LA2250(他ｸﾚｰﾄﾞ含め100kg未満)"
S701155D04200,"ｸﾗﾘﾃｨ LA2270","ｸﾗﾘﾃｨ LA2270(他ｸﾞﾚｰﾄﾞ含め100kg未満)"
S701155D04300,"ｸﾗﾘﾃｨ LA2330","ｸﾗﾘﾃｨ LA2330(他ｸﾞﾚｰﾄﾞ含め100～300kg)"
S701155D04400,"ｸﾗﾘﾃｨ LA4285","ｸﾗﾘﾃｨ LA4285(他ｸﾞﾚｰﾄﾞ含め100kg未満)"
