商品ｺｰﾄﾞ,商品名,商品名索引,単位,得意先(検索)ｺｰﾄﾞ,得意先(検索)名
700125D001001,RIGID-PIN E2A0522-4,ﾘｼﾞｯﾄﾞﾋﾟﾝ,個,770012,安達新産業
703062I001001,PCﾊﾟｲﾌﾟ25φ t=0.9 500本/回,PCﾊﾟｲﾌﾟ25,本,703062,ｴｰﾋﾞｰｼｽﾃﾑ株式会社
703062I001002,PCﾊﾟｲﾌﾟ25φ t=0.9 1000本/回,PCﾊﾟｲﾌﾟ25,本,703062,ｴｰﾋﾞｰｼｽﾃﾑ株式会社
703062I001003,PCﾊﾟｲﾌﾟ25φ t=0.9 3000本/回,PCﾊﾟｲﾌﾟ25,本,703062,ｴｰﾋﾞｰｼｽﾃﾑ株式会社
703062I001004,PCﾊﾟｲﾌﾟ25φ t=0.9 10000本/回,PCﾊﾟｲﾌﾟ25,本,703062,ｴｰﾋﾞｰｼｽﾃﾑ株式会社
704201D001001,ｶﾊﾞｰﾚｲﾝ ZT86-B6000-D L=992 ｸﾞﾚｰ 200~,ｶﾊﾞｰﾚｲﾝZT8,本,704201,岡安ｺﾞﾑ㈱
704201D001002,ｶﾊﾞｰﾚｲﾝ ZT86-B6000-D L=992 ｸﾞﾚｰ 600~,ｶﾊﾞｰﾚｲﾝZT8,本,704201,岡安ｺﾞﾑ㈱
712061D008001,"""36330-63331ﾎｺﾞｺﾞﾑPSﾊﾟｲﾌﾟ1袋(10000以""",,,712061,ｸﾘﾔﾏOEM
712122I006002,"""ｶﾞﾗｽﾗｲﾅｰ 1.5mm L=53 ｶｯﾄ 50000個~""",ｶﾞﾗｽﾗｲﾅｰ,個,712122,ｸﾚﾄｲｼ
712122I007002,"""ｶﾞﾗｽﾗｲﾅｰ 2.0mm L=53 ｶｯﾄ 50000個~""",ｶﾞﾗｽﾗｲﾅｰ,個,712122,ｸﾚﾄｲｼ
712122I008002,"""ｶﾞﾗｽﾗｲﾅｰ 3.0mm L=53 ｶｯﾄ 50000個~""",ｶﾞﾗｽﾗｲﾅｰ,個,712122,ｸﾚﾄｲｼ
714101I001001,H型救急箱 仕切り板L=213.5 (金剛化学),,本,714101,金剛化学
721152I001001,ｿｰﾗｰﾊﾟﾈﾙ樹脂ﾌﾚｰﾑ　250ｍ以下の注文,ｿｰﾗｰﾊﾟﾈﾙｼﾞ,式,721152,ｼﾘｺﾝﾌﾟﾗｽ
721152I001002,ｿｰﾗｰﾊﾟﾈﾙ 樹脂ﾌﾚｰﾑ 受注ﾛｯﾄ:1000m以上,ｿｰﾗｰﾊﾟﾈﾙ ｼ,ｍ,721152,ｼﾘｺﾝﾌﾟﾗｽ
721152I002001,端面45度切断加工費,ｿｰﾗｰﾊﾟﾈﾙｼﾞ,本,721152,ｼﾘｺﾝﾌﾟﾗｽ
721162I001001,ｺﾝﾍﾞﾔｻｲﾄﾞｽｶｰﾄ(お引き取り),,ｍ,721162,白石製作所株式会社
721162I001002,ｺﾝﾍﾞﾔｻｲﾄﾞｽｶｰﾄ(配送),,ｍ,721162,白石製作所株式会社
723022I001001,SUG-01,,ｍ,723022,積水化学北海道
723022I002001,ｱﾝｸﾞﾙﾋﾟｰｽ(ｼﾞｮｳｹﾞﾖｳ) 色物,ｱﾝｸﾞﾙﾋﾟｰｽ,本,723022,積水化学北海道
723022I002002,ｱﾝｸﾞﾙﾋﾟｰｽ(ｼﾞｮｳｹﾞﾖｳ)表面保護付,ｱﾝｸﾞﾙﾋﾟｰｽ,本,723022,積水化学北海道
723022I003001,ｸﾞﾚｰｼﾞﾝｸﾞﾋﾞｰﾄﾞ($GBMSL2),,ｍ,723022,積水化学北海道
723022I003002,ｸﾞﾚｰｼﾞﾝｸﾞﾋﾞｰﾄﾞ($GBMTR3),,ｍ,723022,積水化学北海道
723022I004001,ｺｰﾅｰｶﾞｽｹｯﾄ($CGA-01),,ｍ,723022,積水化学北海道
723022I004002,ｺｰﾅｰｶﾞｽｹｯﾄ(運賃なし),,ｍ,723022,積水化学北海道
723022I004003,ｺｰﾅｰｶﾞｽｹｯﾄ(運賃込み),,ｍ,723022,積水化学北海道
723022I005001,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ ﾎﾜｲﾄ,ﾊｷﾀﾞｼ,本,723022,積水化学北海道
723022I005002,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ 色物,ﾊｷﾀﾞｼ,本,723022,積水化学北海道
723022I005003,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ 表面保護付　ﾎﾜｲﾄ,ﾊｷﾀﾞｼ,本,723022,積水化学北海道
723022I005004,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ 表面保護付　色物,ﾊｷﾀﾞｼ,本,723022,積水化学北海道
723022I006001,縁材(ｺの字　巾6mm) L=2000 白,ｺﾉｼﾞ,本,723022,積水化学北海道
724032I001001,単板ﾓｰﾙ材 9.2*14.0,ﾀﾝﾊﾟﾝﾓｰﾙ,本,724032,空知単板工業
724032I002001,特殊山形樹脂ﾓｰﾙ ｳｫｰﾙﾅｯﾄ,ﾄｸｼｭﾔﾏｶﾞﾀ,本,724032,空知単板工業
724032I002002,特殊山形樹脂ﾓｰﾙ ﾎﾜｲﾄｵｰｸ,ﾄｸｼｭﾔﾏｶﾞﾀ,本,724032,空知単板工業
734102I001001,NS-20用PCｶﾊﾞｰ,NS-20 PC,本,734101,東北江南
